preguntas,respuesta_1,respuesta_2,respuesta_3,respuesta_4,correcta
Quien es el dios del cielo y el trueno en la mitologia griega?,Hades,Poseidon,Zeus,Hermes,3
Quien es la diosa del amor y la belleza?,Atenea,Artemisa,Afrodita,Hera,3
Quien es el dios del inframundo?,Apolo,Ares,Hermes,Hades,4
Cual es el nombre del heroe que completo los doce trabajos?,Teseo,Heracles,Aquiles,Perseo,2
Quien es la diosa de la sabiduria y la guerra estrategica?,Hera,Atenea,Afrodita,Demeter,2
Quien es el dios del mar?,Zeus,Hermes,Apolo,Poseidon,4
Cual es el nombre del dios mensajero que lleva un casco y sandalias aladas?,Hermes,Ares,Dionisio,Hefesto,1
Quien es la diosa de la caza y la naturaleza?,Atenea,Demeter,Artemisa,Hera,3
Que monstruo tiene la cabeza de un toro y el cuerpo de un hombre?,Minotauro,Quimera,Hidra,Cerbero,1
Quien es el dios del vino y la fiesta?,Apolo,Dionisio,Ares,Hefesto,2
Quien es el dios de la guerra?,Hades,Ares,Apolo,Hermes,2
Quien es la diosa del hogar y la familia?,Hera,Hestia,Atenea,Demeter,2
Quien es el dios de la musica la poesia y las artes?,Hermes,Ares,Apolo,Dionisio,3
Quien es el dios de la forja y el fuego?,Ares,Hefesto,Poseidon,Hermes,2
Cual es el nombre de la esposa de Zeus?,Hera,Afrodita,Artemisa,Atenea,1
Quien es el heroe conocido por matar a Medusa?,Heracles,Teseo,Aquiles,Perseo,4
Quien es el dios de los sueños?,Hipnos,Morpheo,Thanatos,Cronos,2
Quien es la diosa de la agricultura?,Hera,Demeter,Hestia,Afrodita,2
Quien es el dios de la juventud y la salud?,Hefesto,Asclepio,Heracles,Hebe,4
Quien es la diosa de la discordia?,Eris,Atenea,Hera,Artemisa,1